primary_label,latitude,longitude,scientific_name,encoded_label_y
comior1,23.5778,86.8512,Aegithina tiphia,38
comkin1,52.1228,4.307,Alcedo atthis,39
commoo3,43.3591,-0.3585,Gallinula chloropus,40
commyn,-18.8571,-159.7949,Acridotheres tristis,41
compea,28.5057,77.2202,Pavo cristatus,42
comros,52.9875,22.9395,Carpodacus erythrinus,43
comsan,55.4649,157.7389,Actitis hypoleucos,44
comtai1,27.3486,91.5573,Orthotomus sutorius,45
copbar1,22.537,88.3395,Psilopogon haemacephalus,46
crbsun2,18.8897,73.1232,Leptocoma minima,47
cregos1,11.9676,75.772,Accipiter trivirgatus,48
crfbar1,15.4286,74.1951,Psilopogon malabaricus,49
crseag1,27.0,88.7001,Spilornis cheela,50
dafbab1,15.411,74.2002,Dumetia atriceps,51
darter2,22.229,68.9931,Anhinga melanogaster,52
eaywag1,14.754,-17.411,Motacilla flava,53
emedov2,-3.0036,129.1814,Chalcophaps indica,54
eucdov,47.699,-3.276,Streptopelia decaocto,55
eurbla2,11.4187,76.7109,Turdus simillimus,56
eurcoo,55.9835,-3.5931,Fulica atra,57
forwag1,19.2434,72.9362,Dendronanthus indicus,58
gargan,49.9533,69.8286,Spatula querquedula,59
gloibi,28.899,-81.808,Plegadis falcinellus,60
goflea1,26.5949,93.4516,Chloropsis aurifrons,61
graher1,54.064,8.964,Ardea cinerea,62
grbeat1,23.200683,58.9307,Merops orientalis,63
grecou1,11.3473,107.1501,Centropus sinensis,64
greegr,28.899,-81.808,Ardea alba,65
grefla1,12.7989,99.4539,Chrysocolaptes guttacristatus,66
grehor1,29.4641,79.1901,Buceros bicornis,67
grejun2,10.0821,77.0655,Gallus sonneratii,68
grenig1,13.9144,104.5538,Lyncornis macrotis,69
grewar3,60.525,18.378,Phylloscopus trochiloides,70
grnsan,52.128,4.32,Tringa ochropus,71
grnwar1,41.8636,43.2564,Phylloscopus nitidus,72
grtdro1,26.61,93.5008,Dicrurus paradiseus,73
gryfra,26.4823,72.9973,Ortygornis pondicerianus,74
grynig2,20.692,73.535,Caprimulgus indicus,75
grywag,50.5613,83.6672,Motacilla cinerea,76
gybpri1,26.851,91.4557,Prinia hodgsonii,77
gyhcaf1,31.52,77.8,Culicicapa ceylonensis,78
heswoo1,14.4387,101.3751,Hemicircus canente,79
hoopoe,48.532,17.231,Upupa epops,80
houcro1,5.2563,73.1637,Corvus splendens,81
houspa,48.04,17.496,Passer domesticus,82
inbrob1,33.6995,107.6201,Larvivora brunnea,83
indpit1,18.9875,73.5157,Pitta brachyura,84
indrob1,15.4346,74.0985,Copsychus fulicatus,85
indrol2,26.5871,93.4518,Coracias benghalensis,86
indtit1,10.198197,77.082825,Machlolophus aplonotus,87
ingori1,28.464,76.893,Oriolus kundoo,88
inpher1,26.5949,93.4516,Ardeola grayii,89
insbab1,10.0821,77.0655,Pomatorhinus horsfieldii,90
insowl1,12.9848,77.5815,Otus bakkamoena,91
integr,13.8549,100.4735,Ardea intermedia,92
isbduc1,,,Anas poecilorhyncha,93
jerbus2,6.5224,80.8442,Mirafra affinis,94
junbab2,28.464,76.893,Argya striata,95
junmyn1,-13.8655,-171.7654,Acridotheres fuscus,96
junowl1,15.399,74.176,Glaucidium radiatum,97
kenplo1,20.702,58.667,Charadrius alexandrinus,98
kerlau2,10.2276,77.4864,Montecincla fairbanki,99
labcro1,27.469,89.3438,Corvus macrorhynchos,100
laudov1,-3.3523,29.3198,Streptopelia senegalensis,101
lblwar1,10.0821,77.0655,Phylloscopus magnirostris,102
lesyel1,3.7119,101.7365,Picus chlorolophus,103
lewduc1,13.9144,104.5538,Dendrocygna javanica,104
lirplo,52.245,6.821,Charadrius dubius,105
litegr,43.5801,-0.2983,Egretta garzetta,106
litgre1,47.1724,19.7679,Tachybaptus ruficollis,107
litspi1,27.1507,90.6916,Arachnothera longirostra,108
litswi1,-28.8865,24.8353,Apus affinis,109
lobsun2,15.411,74.2002,Cinnyris lotenius,110
maghor2,15.9536,73.9979,Ocyceros griseus,111
malpar1,15.411,74.2002,Psittacula columboides,112
maltro1,15.4135,74.2023,Harpactes fasciatus,113
malwoo1,13.4828,75.0572,Tephrodornis sylvicola,114
marsan,53.1291,75.7419,Tringa stagnatilis,115
mawthr1,13.347,74.789,Myophonus horsfieldii,116
moipig1,19.9001,99.0414,Ducula badia,117
nilfly2,10.0821,77.0655,Eumyias albicaudatus,118
niwpig1,10.2381,77.4892,Columba elphinstonii,119
nutman,32.7896,-117.0443,Lonchura punctulata,120
orihob2,,,Pernis ptilorhynchus,121
oripip1,27.5891,89.8709,Anthus rufulus,122
pabflo1,7.2856,80.6668,Dicaeum erythrorhynchos,123
paisto1,,,Mycteria leucocephala,124
piebus1,31.52,77.8,Saxicola caprata,125
piekin1,-17.8796,25.8156,Ceryle rudis,126
placuc3,18.7475,73.4034,Cacomantis passerinus,127
plaflo1,15.5442,73.7733,Dicaeum concolor,128
plapri1,28.464,76.893,Prinia inornata,129
plhpar1,15.4346,74.0985,Psittacula cyanocephala,130
pomgrp2,15.2715,74.536,Treron affinis,131
purher1,-17.807,25.6894,Ardea purpurea,132
pursun3,20.7784,73.4699,Leptocoma zeylonica,133
pursun4,28.5057,77.2202,Cinnyris asiaticus,134
purswa3,19.9051,85.4365,Porphyrio poliocephalus,135
putbab1,10.0821,77.0655,Pellorneum ruficeps,136
redspu1,10.4084,76.7191,Galloperdix spadicea,137
rerswa1,43.6601,27.9545,Cecropis daurica,138
revbul,-13.8655,-171.7654,Pycnonotus cafer,139
rewbul,26.9239,92.8812,Pycnonotus jocosus,140
rewlap1,28.464,76.893,Vanellus indicus,141
rocpig,-20.8004,-42.8884,Columba livia,142
rorpar,28.464,76.893,Psittacula krameri,143
rossta2,18.9957,72.8615,Pastor roseus,144
rufbab3,,,Argya subrufa,145
ruftre2,26.61,93.5008,Dendrocitta vagabunda,146
rufwoo2,12.5964,75.4455,Micropternus brachyurus,147
rutfly6,34.5417,73.3493,Ficedula ruficauda,148
sbeowl1,6.3897,80.5014,Bubo nipalensis,149
scamin3,15.399,74.176,Pericrocotus flammeus,150
shikra1,28.464,76.893,Accipiter badius,151
smamin1,18.2711,74.166,Pericrocotus cinnamomeus,152
sohmyn1,7.2856,80.6668,Gracula indica,153
spepic1,27.1507,90.6916,Picumnus innominatus,154
spodov,-10.1876,123.3798,Streptopelia chinensis,155
spoowl1,13.7763,100.321,Athene brama,156
sqtbul1,,,Hypsipetes ganeesa,157
stbkin1,26.6804,93.5596,Pelargopsis capensis,158
sttwoo1,13.9144,104.5538,Picus xanthopygaeus,159
thbwar1,26.6345,93.3575,Arundinax aedon,160
tibfly3,9.032,98.4763,Cyornis tickelliae,161
tilwar1,27.1752,77.5063,Phylloscopus affinis,162
vefnut1,29.4253,79.5106,Sitta frontalis,163
vehpar1,26.9239,92.8812,Loriculus vernalis,164
wbbfly1,15.3132,74.5451,Cyornis pallidipes,165
wemhar1,20.702,58.667,Circus aeruginosus,166
whbbul2,15.5442,73.7733,Pycnonotus luteolus,167
whbsho3,10.0821,77.0655,Sholicola albiventris,168
whbtre1,11.0815,76.4221,Dendrocitta leucogastra,169
whbwag1,,,Motacilla maderaspatensis,170
whbwat1,13.2289,103.6251,Amaurornis phoenicurus,171
whbwoo2,,,Dryocopus javensis,172
whcbar1,15.4545,74.2293,Psilopogon viridis,173
whiter2,53.1614,6.6984,Chlidonias hybrida,174
whrmun,23.503,121.44,Lonchura striata,175
whtkin2,26.7944,91.5032,Halcyon smyrnensis,176
woosan,58.2887,14.0501,Tringa glareola,177
wynlau1,,,Pterorhinus delesserti,178
yebbab1,6.3667,81.5167,Argya affinis,179
yebbul3,,,Iole indica,180
zitcis1,44.6469,-1.12,Cisticola juncidis,181
